Index,Name,Number Sentences,Readable Sentences,Easy Read Percentage,Total Words,Known Words,Unknown Words,Known Percentage,Total Kanji,Known Kanji,Unknown Kanji,Known Kanji Percentage,Kanji 10+,Known 10+,Known 10+ Percentage,Kanji 5+,Known 5+,Kanji 2+,Known 2+
47,Zの時間 (HJ文庫),3038,918,30,5121,2115,3006,41,1639,1256,383,76,610,587,96,885,819,1294,1099
48,Zの時間2 (HJ文庫),3250,930,28,5111,2083,3028,40,1653,1259,394,76,634,604,95,924,841,1355,1134
49,[著者　桜坂洋／挿絵　安倍吉俊] All You Need Is Kill,2635,681,25,6249,2293,3956,36,1687,1258,429,74,685,645,94,954,859,1389,1125
50,[赤城大空] 二度めの夏、二度と会えない君（イラスト完全版）,3881,915,23,5296,2107,3189,39,1573,1226,347,77,603,581,96,903,839,1286,1089
51,【小説1巻】本好きの下剋上～司書になるためには手段を選んでいられません～第一部「兵士の娘I」 (TOブックスラノベ),3567,790,22,5527,2280,3247,41,1658,1296,362,78,736,700,95,1019,929,1369,1154
52,【小説2巻】本好きの下剋上～司書になるためには手段を選んでいられません～第一部「兵士の娘II」 (TOブックスラノベ),3980,835,20,5209,2176,3033,41,1587,1245,342,78,752,712,94,1004,913,1345,1143
53,【小説3巻】本好きの下剋上～司書になるためには手段を選んでいられません～第一部「兵士の娘III」 (TOブックスラノベ),4676,785,16,6179,2382,3797,38,1728,1310,418,75,906,841,92,1166,1043,1464,1205
54,【小説4巻】本好きの下剋上～司書になるためには手段を選んでいられません～第二部「神殿の巫女見習いI」 (TOブックスラノベ),3742,615,16,5799,2299,3500,39,1688,1293,395,76,826,770,93,1089,970,1439,1179
55,【小説5巻】本好きの下剋上～司書になるためには手段を選んでいられません～第二部「神殿の巫女見習いII」 (TOブックスラノベ),3859,519,13,6155,2354,3801,38,1744,1310,434,75,891,815,91,1169,1028,1495,1213
56,いたいのいたいの、とんでゆけ (メディアワークス文庫),2407,564,23,6381,2418,3963,37,1823,1328,495,72,777,736,94,1091,951,1504,1192
57,この素晴らしい世界に祝福を！ 01　あぁ、駄女神さま,2720,518,19,4407,1971,2436,44,1475,1182,293,80,531,510,96,791,736,1188,1030
58,この素晴らしい世界に祝福を！ 02　中二病でも魔女がしたい！,2785,502,18,4423,1949,2474,44,1496,1200,296,80,546,527,96,831,782,1207,1047
59,この素晴らしい世界に祝福を！ 03　よんでますよ、ダクネスさん。,3008,521,17,4607,1964,2643,42,1496,1188,308,79,572,553,96,836,778,1236,1042
60,この素晴らしい世界に祝福を！ 04　鈍ら四重奏　～ナマクラカルテット～,3050,561,18,4565,1944,2621,42,1472,1179,293,80,573,548,95,848,786,1206,1043
61,この素晴らしい世界に祝福を！ 05　爆裂紅魔にレッツ＆ゴー!!,3253,586,18,4625,1978,2647,42,1515,1182,333,78,567,549,96,846,791,1241,1040
62,この素晴らしい世界に祝福を！ 06　六花の王女,3203,542,16,4760,2014,2746,42,1536,1202,334,78,582,563,96,858,803,1244,1051
63,この素晴らしい世界に祝福を！ 07　億千万の花嫁,3136,562,17,4900,2056,2844,41,1559,1210,349,77,597,578,96,892,822,1264,1065
64,この素晴らしい世界に祝福を！ 08　アクシズ教団VSエリス教団,2797,443,15,4718,2033,2685,43,1537,1211,326,78,561,542,96,837,765,1233,1056
