優しい, 23
側, 23
あり, 22
くれる, 22
部分, 22
心臓, 22
向こう, 22
読者, 22
楽しい, 22
一言, 22
場, 22
落とす, 22
文学, 22
過ごす, 22
嬉しい, 22
意識, 22
涙, 22
高, 22
来, 22
イメージ, 22
現実, 22
向く, 22
父, 22
ずいぶん, 22
随分, 22
無理, 22
おい, 22
ちゃっ, 22
想像, 22
やっぱり, 22
好み, 22
変, 22
性格, 22
日記, 22
表示, 22
以来, 22
可愛い, 22
完全, 22
実, 22
玄関, 22
クラスメイト, 21
クラスメート, 21
とおり, 21
強い, 21
みんな, 21
過ぎる, 21
薄い, 21
続け, 21
わかっ, 21
変わら, 21
とも, 21
シンプル, 20
男, 20
たく, 20
意外, 20
登場, 20
掛ける, 20
まし, 20
上がる, 20
うち, 20
共感, 20
魅力, 20
肩, 20
大きい, 20
聞こえる, 20
困惑, 20
元, 20
尋ねる, 20
対する, 20
振り返る, 20
持っ, 20
見せ, 20
真っ赤, 20
程度, 20
シーン, 20
振る, 20
同時, 20
感情, 20
協力, 20
行動, 20
唇, 20
テスト, 20
作, 20
傷付ける, 20
わかる, 19
向け, 19
向ける, 19
つい, 19
いろいろ, 19
色々, 19
戻る, 19
トキ, 19
鴇, 19
ようやく, 19
漸く, 19
すごい, 19
恥ずかしい, 19
高い, 19
隣り, 19
そば, 19
出版, 18
帰り道, 18
表紙, 18
色, 18
雰囲気, 18
べし, 18
つもり, 18
積り, 18
起きる, 18
関わる, 18
存在, 18
後悔, 18
本気, 18
作者, 18
母, 18
テレビ, 18
他人, 18
明日, 18
年間, 18
少ない, 18
扉, 18
鞄, 18
一部, 18
使う, 18
書い, 18
性, 18
結局, 18
時計, 18
隣, 18
必要, 18
例えば, 18
発言, 18
さっき, 18
苦手, 18
ワン, 18
合う, 18
接する, 18
大切, 18
月, 18
空, 18
思え, 17
生きる, 17
返る, 17
もちろん, 17
勿論, 17
作る, 17
描く, 17
もらっ, 17
いっ, 17
行っ, 17
つう, 17
楽しみ, 17
まだ, 17
あー, 17
大きく, 17
答える, 17
短い, 17
なぜ, 17
何故, 17
入れる, 17
うなずい, 17
付き合っ, 17
付き合い, 17
傷つけ, 17
可能, 16
幸福, 16
知り合い, 16
感触, 16
入学, 16
かけ, 16
印象, 16
紹介, 16
趣味, 16
会, 16
最低, 16
途端, 16
視界, 16
主人, 16
公, 16
問題, 16
しかし, 16
然し, 16
ボブ, 16
えーと, 16
混乱, 16
駅, 16
ふい, 16
話題, 16
遊ぶ, 16
おお, 16
机, 16
昨日, 16
無, 16
筆, 16
共通, 16
足, 16
今度, 16
具体, 16
当たり前, 16
急, 16
背中, 16
インストール, 16
経つ, 16
かわいい, 16
奥, 16
リモコン, 16
仲, 16
理由, 16
当時, 16
膝, 16
小学, 16
次回, 16
椅子, 16
原稿, 16
眺め, 15
眺める, 15
離れる, 15
待つ, 15
長い, 15
回る, 15
震える, 15
遊び, 15
困る, 15
ため, 15
為, 15
しよう, 15
手の平, 15
掌, 15
歩き, 15
白い, 15
頑張る, 15
選ぶ, 15
難しい, 15
きっかけ, 15
切っ掛け, 15
せい, 15
所為, 15
第, 14
デザイン, 14
伸ばし, 14
伸ばす, 14
会っ, 14
女, 14
文, 14
背, 14
抱く, 14
小走り, 14
ずつ, 14
七, 14
周囲, 14
窓, 14
態度, 14
口調, 14
自己, 14
日常, 14
すぎ, 14
止める, 14
痛い, 14
ぎゅっ, 14
文芸, 14
経験, 14
切れ長, 14
生徒, 14
人物, 14
落とし, 14
我, 14
済む, 14
ほら, 14
不意, 14
終わり, 14
出会う, 14
聞こえ, 14
答え, 14
おう, 14
人垣, 14
腰掛ける, 14
付い, 14
ほとんど, 14
殆ど, 14
あんまり, 14
作家, 14
突然, 14
なかなか, 14
中々, 14
点, 14
髪, 14
申し訳, 14
瞳, 14
全部, 14
身体, 14
すれ, 14
自信, 14
笑顔, 14
週間, 14
夢, 14
心配, 14
よかっ, 14
まさか, 14
限り, 14
右手, 14
壁, 14
テーブル, 14
コーヒー, 14
家具, 14
ピース, 14
大事, 14
担当, 14
写真, 14
魔女, 14
異性, 14
デート, 14
午後, 14
似, 13
似る, 13
引く, 13
見付ける, 13
正しい, 13
いけ, 13
下さる, 13
ええ, 13
読み, 13
なけれ, 13
送る, 13
戻っ, 13
はい, 13
慌て, 13
慌てる, 13
でしょう, 13
飲む, 13
酷い, 13
出会っ, 13
震え, 13
明るい, 13
誘う, 13
ため息, 13
溜め息, 13
続く, 13
へえ, 13
べき, 13
